company_name,bidding_day,bidding_date,total_multiple,qib_multiple,nii_multiple,retail_multiple,source
MY MUDRA FINCORP LTD.,1,"September 5, 2024",5.79,7.0,3.6,6.04,user_scraped
MY MUDRA FINCORP LTD.,2,"September 6, 2024",13.65,8.58,11.3,17.55,user_scraped
MY MUDRA FINCORP LTD.,3,"September 9, 2024",102.48,48.83,159.37,108.77,user_scraped
NETWORK PEOPLE SERVICES TECHNOLOGIES LTD.,1,"July 28, 2021",6.16,0.0,0.28,17.25,user_scraped
NETWORK PEOPLE SERVICES TECHNOLOGIES LTD.,2,"July 29, 2021",9.83,0.0,0.91,26.96,user_scraped
NETWORK PEOPLE SERVICES TECHNOLOGIES LTD.,3,"July 30, 2021",12.73,1.0,1.0,34.47,user_scraped
NETWORK PEOPLE SERVICES TECHNOLOGIES LTD.,4,"August 2, 2021",22.37,1.1,10.4,50.68,user_scraped
NEWJAISA TECHNOLOGIES LTD.,1,"September 25, 2023",0.35,0.0,0.23,0.6,user_scraped
NEWJAISA TECHNOLOGIES LTD.,2,"September 26, 2023",0.98,0.0,0.37,1.81,user_scraped
NEWJAISA TECHNOLOGIES LTD.,3,"September 27, 2023",6.85,1.02,15.34,6.54,user_scraped
O B S C PERFECTION LTD.,1,"October 22, 2024",0.77,1.43,0.16,0.65,user_scraped
O B S C PERFECTION LTD.,2,"October 23, 2024",2.53,2.71,2.37,2.5,user_scraped
O B S C PERFECTION LTD.,3,"October 24, 2024",16.56,10.2,25.87,16.2,user_scraped
ON DOOR CONCEPTS LTD.,1,,0.96,,,1.53,wayback_harvested
ON DOOR CONCEPTS LTD.,2,,2.78,,,4.37,wayback_harvested
ON DOOR CONCEPTS LTD.,3,,3.61,,,5.47,wayback_harvested
ON DOOR CONCEPTS LTD.,4,,5.59,,,7.87,wayback_harvested
P E ANALYTICS LTD.,1,"Mar 22, 2022",0.99,0.0,0.38,2.66,user_scraped
P E ANALYTICS LTD.,2,"Mar 23, 2022",2.51,0.0,1.73,6.42,user_scraped
P E ANALYTICS LTD.,3,"Mar 24, 2022",8.12,1.85,8.81,16.76,user_scraped
P E ANALYTICS LTD.,4,"Mar 25, 2022",46.34,13.22,126.4,59.2,user_scraped
PARAGON FINE & SPECIALITY CHEMICAL LTD.,1,"October 26, 2023",12.18,2.71,14.09,16.78,user_scraped
PARAGON FINE & SPECIALITY CHEMICAL LTD.,2,"October 27, 2023",37.18,14.64,39.09,49.25,user_scraped
PARAGON FINE & SPECIALITY CHEMICAL LTD.,3,"October 30, 2023",205.74,81.38,419.46,185.28,user_scraped
PELATRO LTD.,1,"September 16, 2024",0.43,0.0,0.18,0.79,user_scraped
PELATRO LTD.,2,"September 17, 2024",1.59,0.0,1.07,2.76,user_scraped
PELATRO LTD.,3,"September 18, 2024",2.81,0.0,2.76,4.54,user_scraped
