co_code,company_name,symbol,listing_date,listing_year,time,event,issue_price,listing_close,listing_gain_pct,firm_age,diff_issue_list_dates,traded_qty_l1,total_subs_times,qib_subs_times,nii_subs_times,eps,pe_ratio,debt_to_asset_ratio
640966,BODHI TREE MULTIMEDIA LTD.,BTML,21-10-2020,2020,2,1,95,95.8,0.84,7,8,28800,2.50,1.00,1.00,15.12,6.34,1.0000
643228,Q M S MEDICAL ALLIED SERVICES LTD.,QMSMEDI,2022-11-10,2022,319,1,121,134.4,11.07,5,11,1390000,2.50,1.00,1.00,3.91,34.37,1.0000
643266,KRISHIVAL FOODS LTD.,,31-03-2022,2022,459,0,35.28,44.1,25.00,12,7,792000,2.50,1.00,1.00,1.72,25.68,1.0000
644555,NETWORK PEOPLE SERVICES TECHNOLOGIES LTD.,NPST,10-08-2021,2021,1,1,80,79.9,-0.12,12,8,281600,6.16,0.00,0.28,1.66,48.25,1.0000
644606,SOTAC PHARMACEUTICALS LTD.,SOTAC,13-04-2023,2023,194,1,111,120.75,8.78,8,10,812400,3.50,1.00,1.50,4.07,29.65,1.0000
644697,SIDDHIKA COATINGS LTD.,SIDDHIKA,07-04-2021,2021,1,1,57,56.95,-0.09,12,12,82000,2.50,1.00,1.00,2.82,20.22,1.0000
645432,WALPAR NUTRITIONS LTD.,WALPAR,13-07-2021,2021,2,1,55,57,3.64,1,8,248000,2.50,1.00,1.00,5.00,11.40,1.0000
646219,PLADA INFOTECH SERVICES LTD.,PLADAINFO,13-10-2023,2023,8,1,48,56.05,16.77,13,8,999000,2.50,1.00,1.00,2.58,21.75,1.0000
647406,PARAGON FINE & SPECIALITY CHEMICAL LTD.,PARAGON,2023-03-11,2023,283,1,100,213.75,113.75,5,4,1606800,12.18,2.71,14.09,6.58,32.50,1.0000
647482,KAY CEE ENERGY & INFRA LTD.,KCEIL,2024-05-01,2024,244,0,54,239.4,343.33,9,3,1610000,3.50,1.00,1.50,6.79,35.27,1.0000
647528,MANGALAM WORLDWIDE LTD.,MAL,27-11-2019,2019,561,0,41,51.5,25.61,9,9,140000,2.50,1.00,1.00,1.51,34.03,1.0000
647610,GANESH GREEN BHARAT LTD.,GGBL,2024-12-07,2024,117,0,190,379.05,99.50,5,3,978600,12.73,5.79,8.56,5.81,65.28,1.0000
647629,BOMBAY METRICS SUPPLY CHAIN LTD.,BMETRICS,2021-12-10,2021,517,1,93,103.2,10.97,6,8,94800,3.50,1.00,1.50,5.98,17.27,1.0000
647882,SABAR FLEX INDIA LTD.,SABAR,21-09-2022,2022,405,0,11,22.05,100.45,4,8,2930000,2.50,1.00,1.00,1.06,20.77,1.0000
647954,SATHLOKHAR SYNERGYS E & C GLOBAL LTD.,SSEGL,2024-06-08,2024,101,0,140,247,76.43,11,5,1297000,2.50,1.00,1.00,10.85,22.76,1.0000
648466,R N F I SERVICES LTD.,RNFI,29-07-2024,2024,107,0,105,189.55,80.52,12,5,1629600,5.94,0.00,4.08,2.80,67.76,1.0000
648531,OSEL DEVICES LTD.,OSELDEVICE,24-09-2024,2024,67,0,160,207.95,29.97,18,5,1958400,3.50,1.00,1.50,7.86,26.45,1.0000
650760,DUDIGITAL GLOBAL LTD.,DUGLOBAL,21-12-2022,2022,1,1,65,131.25,101.92,12,9,2785600,3.50,1.00,1.50,4.14,31.70,1.0000
651138,ASPIRE & INNOVATIVE ADVERTISING LTD.,,03-04-2024,2024,157,1,47.44,59.3,25.00,12,7,1506000,3.50,1.00,1.50,6.13,9.67,1.0000
651798,AKIKO GLOBAL SERVICES LTD.,AKIKO,2024-02-07,2024,12,1,77,93.35,21.23,6,5,1267200,3.50,1.00,1.50,3.51,26.60,1.0000
654272,D K ENTERPRISES GLOBAL LTD.,DKEGL,22-10-2021,2021,3,1,40,43.3,8.25,2,7,576000,3.50,1.00,1.50,2.64,16.42,1.0000
655424,VIVO COLLABORATION SOLUTIONS LTD.,VIVO,31-12-2021,2021,323,1,82,337.35,311.40,9,8,283200,2.50,1.00,1.00,16.72,20.17,1.0000
656409,BRACE PORT LOGISTICS LTD.,BRACEPORT,26-08-2024,2024,88,0,80,159.6,99.50,4,5,401600,52.27,6.59,29.03,4.29,37.19,1.0000
656546,JEENA SIKHO LIFECARE LTD.,JSLL,19-04-2022,2022,16,1,150,173.35,15.57,5,12,1115000,2.50,1.00,1.00,7.42,23.36,1.0000
656621,KALAHRIDHAAN TRENDZ LTD.,KTL,23-02-2024,2024,195,0,10,49.5,395.00,8,3,2529000,3.50,1.00,1.50,4.75,10.41,1.0000
656721,BABA FOOD PROCESSING (INDIA) LTD.,BABAFP,15-11-2023,2023,1,1,76,72.2,-5.00,12,8,969600,3.50,1.00,1.50,3.55,20.32,1.0000
657837,RICHA INFO SYSTEMS LTD.,RICHA,21-02-2022,2022,1,1,125,118.75,-5.00,12,10,161000,2.50,1.00,1.00,3.74,31.71,1.0000
657941,AMEYA PRECISION ENGINEERS LTD.,AMEYA,2022-08-09,2022,115,1,34,65.4,92.35,10,9,1648000,3.50,1.00,1.50,1.81,36.07,1.0000
658848,GLOBESECURE TECHNOLOGIES LTD.,GSTL,2022-02-06,2022,594,1,29,37.1,27.93,6,8,2476000,2.50,1.00,1.00,0.81,45.67,1.0000
659024,HVAX TECHNOLOGIES LTD.,HVAX,2024-07-10,2024,59,0,458,490.35,7.06,14,6,279600,1.13,0.00,1.09,39.65,12.37,1.0000
659048,AIMTRON ELECTRONICS LTD.,AIMTRON,2024-06-06,2024,142,0,161,253.05,57.17,13,3,2638400,3.50,1.00,1.50,6.67,37.93,1.0000
659301,SONU INFRATECH LTD.,SONUINFRA,13-05-2022,2022,2,1,36,37.6,4.44,5,8,834000,2.50,1.00,1.00,2.14,17.57,1.0000
660107,BIKEWO GREEN TECH LTD.,BIKEWO,27-09-2024,2024,1,1,62,47.25,-23.79,12,3,336000,3.50,1.00,1.50,1.28,36.90,1.0000
661075,VITAL CHEMTECH LTD.,VITAL,14-11-2022,2022,71,1,101,163.1,61.49,1,11,2787600,3.17,1.40,1.30,6.37,25.62,1.0000
661077,FIDEL SOFTECH LTD.,FIDEL,2022-10-06,2022,597,0,37,62.05,67.70,18,8,1794000,3.50,1.00,1.50,3.40,18.23,1.0000
661186,UPSURGE SEEDS OF AGRICULTURE LTD.,USASEEDS,2022-11-08,2022,553,0,120,147,22.50,5,9,753600,2.50,1.00,1.00,5.61,26.21,1.0000
662927,T B I CORN LTD.,TBI,2024-07-06,2024,141,0,94,207.9,121.17,2,3,2592000,3.50,1.00,1.50,5.53,37.56,1.0000
663473,ANNAPURNA SWADISHT LTD.,ANNAPURNA,27-09-2022,2022,561,0,70,126,80.00,0,8,2338000,5.59,0.00,3.58,1.61,78.08,1.0000
663918,TAPI FRUIT PROCESSING LTD.,TAPIFRUIT,22-09-2022,2022,25,1,48,54.7,13.96,4,8,267000,2.50,1.00,1.00,0.43,125.92,1.0000
663919,RITE ZONE CHEMCON INDIA LTD.,RITEZONE,2022-11-11,2022,31,1,75,86.95,15.93,7,9,544000,2.50,1.00,1.00,5.00,17.39,1.0000
664042,GAYATRI RUBBERS & CHEMICALS LTD.,GRCL,2023-07-02,2023,328,0,30,36.75,22.50,1,8,600000,2.50,1.00,1.00,1.29,28.50,1.0000
664209,PHANTOM DIGITAL EFFECTS LTD.,PHANTOMFX,21-10-2022,2022,544,0,95,312.7,229.16,6,7,1632000,2.94,0.00,1.68,9.01,34.70,1.0000
664238,VIVIANA POWER TECH LTD.,VIVIANA,16-09-2022,2022,547,0,55,94.5,71.82,8,8,966000,2.50,1.00,1.00,5.08,18.62,1.0000
665153,APRAMEYA ENGINEERING LTD.,APRAMEYA,2024-01-08,2024,45,1,58,75.6,30.34,3,3,1564000,2.50,1.00,1.00,1.83,41.24,1.0000
665162,D C G CABLES & WIRES LTD.,DCG,16-04-2024,2024,1,1,100,85.5,-14.50,12,6,754800,3.50,1.00,1.50,4.90,17.44,1.0000
665310,VELS FILM INTL. LTD.,VELS,22-03-2023,2023,5,1,99,103.4,4.44,4,8,1422000,2.50,1.00,1.00,4.14,24.99,1.0000
665311,ANLON TECHNOLOGY SOLUTIONS LTD.,ANLON,2023-10-01,2023,478,0,100,263.65,163.65,8,8,648000,21.92,4.27,14.58,5.55,47.52,1.0000
665333,MOXSH OVERSEAS EDUCON LTD.,MOXSH,30-12-2022,2022,1,1,153,127.85,-16.44,12,7,176800,2.50,1.00,1.00,13.12,9.74,1.0000
665555,BEACON TRUSTEESHIP LTD.,BEACON,2024-04-06,2024,144,0,60,94.5,57.50,9,5,2230000,2.50,1.00,1.00,2.86,33.08,1.0000
665671,R B M INFRACON LTD.,RBMINFRA,2023-04-01,2023,491,0,36,55.1,53.06,10,8,1542000,2.50,1.00,1.00,1.68,32.75,1.0000
666877,SAHANA SYSTEM LTD.,SAHANA,2023-12-06,2023,382,0,135,171.15,26.78,3,10,1530000,1.11,0.16,1.54,7.77,22.04,1.0000
667048,HOMESFY REALTY LTD.,HOMESFY,2023-02-01,2023,437,0,197,287.95,46.17,12,10,461400,3.50,1.00,1.50,11.55,24.92,1.0000
667269,VIAZ TYRES LTD.,VIAZ,2023-01-03,2023,5,1,62,68.05,9.76,5,8,2314000,3.50,1.00,1.50,1.89,36.09,1.0000
668618,AGARWAL FLOAT GLASS INDIA LTD.,AGARWALFT,23-02-2023,2023,2,1,42,44.05,4.88,5,8,1158000,3.50,1.00,1.50,4.14,10.64,1.0000
669048,DE NEERS TOOLS LTD.,DENEERS,2023-11-05,2023,393,0,101,180.5,78.71,2,8,817200,3.50,1.00,1.50,8.01,22.55,1.0000
671571,NIRMAN AGRI GENETICS LTD.,NIRMAN,28-03-2023,2023,2,1,99,101.3,2.32,3,8,1551600,2.50,1.00,1.00,4.90,20.68,1.0000
671884,SYSTANGO TECHNOLOGIES LTD.,SYSTANGO,15-03-2023,2023,445,0,90,102.9,14.33,19,9,1427200,1.28,0.00,0.96,8.00,12.86,1.0000
672232,PATTECH FITWELL TUBE COMPONENTS LTD.,PATTECH,21-04-2023,2023,136,1,50,57.75,15.50,1,9,612000,3.50,1.00,1.50,0.94,61.36,1.0000
673701,SHRI TECHTEX LTD.,SHRITECH,2023-04-08,2023,161,1,61,85.2,39.67,5,7,3576000,3.50,1.00,1.50,3.65,23.33,1.0000
673702,INFOLLION RESEARCH SERVICES LTD.,INFOLLION,2023-08-06,2023,388,0,82,198.55,142.13,14,8,971200,4.93,0.00,2.88,4.33,45.81,1.0000
673813,URBAN ENVIRO WASTE MGMT. LTD.,URBAN,22-06-2023,2023,27,1,100,148.05,48.05,12,8,800400,2.50,1.00,1.00,5.94,24.94,1.0000
674139,KRISHCA STRAPPING SOLUTIONS LTD.,KRISHCA,26-05-2023,2023,396,0,54,112.9,109.07,6,7,1004000,20.38,1.75,25.86,7.74,14.59,1.0000
674301,REMUS PHARMACEUTICALS LTD.,REMUS,29-05-2023,2023,396,0,1229,1796.8,46.20,8,10,155200,1.43,0.00,2.85,57.84,31.06,1.0000
674706,SUNGARNER ENERGIES LTD.,SEL,31-08-2023,2023,316,0,83,262.35,216.08,8,8,502400,3.50,1.00,1.50,3.19,82.21,1.0000
674707,TRIDHYA TECH LTD.,TRIDHYA,13-07-2023,2023,3,1,42,44.1,5.00,5,8,2952000,3.50,1.00,1.50,1.06,41.75,1.0000
674859,KORE DIGITAL LTD.,KDL,14-06-2023,2023,3,1,180,190.95,6.08,14,7,547200,2.50,1.00,1.00,9.15,20.87,1.0000
675285,TUNWAL E-MOTORS LTD.,TUNWAL,23-07-2024,2024,2,1,59,60.8,3.05,6,5,4260000,3.50,1.00,1.50,2.14,28.47,1.0000
67764,EMKAY TAPS & CUTTING TOOLS LTD.,EMKAYTOOLS,13-08-2015,2015,8,1,330,333.05,0.92,20,14,170000,3.50,1.00,1.50,63.53,5.24,1.0000
683755,MAGSON RETAIL & DISTRIBUTION LTD.,MAGSON,2023-06-07,2023,336,0,65,95.7,47.23,5,9,942000,2.50,1.00,1.00,3.17,30.17,1.0000
683828,GLOBAL PET INDS. LTD.,GLOBALPET,2023-10-07,2023,350,0,49,52.8,7.76,10,7,1104000,3.50,1.00,1.50,1.41,37.45,1.0000
684190,DRONE DESTINATION LTD.,DRONE,21-07-2023,2023,359,0,65,102.1,57.08,4,8,2240000,9.16,5.54,3.67,1.03,99.24,1.0000
684817,ZEAL GLOBAL SERVICES LTD.,ZEAL,2023-09-08,2023,345,0,103,154.35,49.85,9,8,1291200,2.50,1.00,1.00,7.34,21.03,1.0000
684950,PARAMOUNT SPECIALITY FORGINGS LTD.,PARAMOUNT,25-09-2024,2024,66,0,59,87.15,47.71,1,5,2488000,3.50,1.00,1.50,2.78,31.30,1.0000
684958,SRIVARI SPICES & FOODS LTD.,SSFL,18-08-2023,2023,338,0,42,106.55,153.69,4,9,1242000,10.37,1.23,6.33,4.30,24.79,1.0000
