Listing Gain Quintile,Cohort Size,Event Rate (% Below Issue),Median Obs Days,Survival @ Day 20,Survival @ Day 60,Survival @ Day 120,Survival @ Day 240,Recommended QR Exit Action,Max Portfolio Weight
Q1 (0-10%),88,98.9%,1 days,5.7%,5.7%,2.3%,1.1%,Immediate T+1 to T+5 Liquidation (Severe breakdown risk),0.50%
Q2 (10-25%),87,82.8%,9 days,40.2%,29.9%,29.9%,23.0%,Exit by T+20 (Hazard cliff begins),1.00%
Q3 (25-50%),87,70.1%,68 days,78.2%,57.5%,49.4%,39.1%,"Harvest 50% at T+20, trailing stop to T+60",1.50%
Q4 (50-90%),88,23.9%,200 days,97.7%,94.3%,86.4%,81.8%,Hold to T+120 with trailing stop on 20-DMA,2.50%
Q5 (>90%),86,24.4%,192 days,97.7%,95.3%,94.2%,86.0%,Momentum runner: hold to T+240; harvest on 50-DMA breach,3.00%
